iter	Passed	Remaining
187	1081	3519
188	1086	3512
189	1092	3506
190	1099	3505
191	1105	3500
192	1110	3493
193	1118	3493
194	1124	3489
195	1130	3482
196	1135	3475
197	1142	3474
198	1150	3473
199	1156	3469
200	1162	3463
201	1167	3457
202	1174	3452
203	1179	3447
204	1187	3445
205	1194	3444
206	1200	3438
207	1205	3430
208	1210	3423
209	1215	3415
210	1222	3411
211	1227	3405
212	1233	3399
213	1239	3393
214	1245	3389
215	1250	3381
216	1256	3374
217	1263	3372
218	1269	3368
219	1274	3361
220	1279	3353
221	1284	3345
222	1290	3338
223	1295	3331
224	1300	3324
225	1306	3319
226	1312	3312
227	1317	3305
228	1321	3294
229	1328	3291
230	1333	3285
231	1338	3277
232	1344	3270
233	1349	3263
234	1354	3255
235	1359	3247
236	1364	3240
237	1370	3235
238	1374	3226
239	1379	3219
240	1384	3211
241	1389	3204
242	1395	3197
243	1400	3191
244	1406	3185
245	1412	3180
246	1417	3173
247	1422	3165
248	1427	3158
249	1432	3150
250	1437	3143
251	1442	3135
252	1446	3127
253	1451	3120
254	1461	3123
255	1466	3116
256	1471	3109
257	1476	3102
258	1484	3100
259	1489	3094
260	1494	3086
261	1499	3079
262	1505	3073
263	1510	3067
264	1516	3060
265	1524	3060
266	1529	3053
267	1533	3044
268	1539	3038
269	1544	3032
270	1549	3025
271	1554	3018
272	1559	3011
273	1564	3003
274	1569	2996
275	1574	2989
276	1579	2982
277	1585	2976
278	1590	2970
279	1595	2963
280	1601	2957
281	1606	2951
282	1612	2945
283	1616	2937
284	1621	2929
285	1626	2922
286	1632	2917
287	1636	2909
288	1641	2902
289	1646	2896
290	1651	2889
291	1656	2882
292	1662	2876
293	1668	2871
294	1677	2871
295	1683	2866
296	1689	2861
297	1694	2854
298	1698	2846
299	1706	2844
300	1712	2839
301	1720	2836
302	1727	2833
303	1734	2829
304	1741	2825
305	1745	2818
306	1751	2812
307	1756	2805
308	1760	2797
309	1765	2791
310	1771	2785
311	1777	2780
312	1782	2772
313	1786	2765
314	1791	2758
315	1796	2751
316	1802	2746
317	1807	2739
318	1812	2732
319	1818	2727
320	1823	2720
321	1829	2716
322	1838	2714
323	1844	2709
324	1849	2702
325	1854	2696
326	1860	2690
327	1865	2684
328	1871	2678
329	1876	2672
330	1882	2667
331	1887	2661
332	1893	2655
333	1898	2648
334	1903	2641
335	1907	2634
336	1916	2632
337	1921	2626
338	1926	2619
339	1931	2613
340	1937	2608
341	1942	2601
342	1947	2595
343	1952	2588
344	1958	2582
345	1964	2577
346	1969	2571
347	1975	2565
348	1980	2558
349	1985	2552
350	1989	2545
351	1995	2539
352	2000	2533
353	2004	2525
354	2009	2519
355	2014	2512
356	2019	2505
357	2025	2500
358	2030	2493
359	2034	2487
360	2040	2481
361	2045	2474
362	2050	2468
363	2055	2462
364	2061	2456
365	2066	2450
366	2071	2444
367	2076	2437
368	2084	2434
369	2088	2426
370	2091	2418
371	2095	2410
372	2100	2404
373	2105	2398
374	2109	2391
375	2115	2385
376	2120	2379
377	2125	2373
378	2131	2367
379	2137	2362
380	2141	2355
381	2146	2349
382	2152	2343
383	2157	2336
384	2162	2330
385	2167	2324
386	2172	2318
387	2177	2311
388	2182	2305
389	2186	2298
390	2192	2293
391	2198	2287
392	2203	2281
393	2207	2275
394	2214	2270
395	2219	2263
396	2225	2259
397	2230	2253
398	2234	2245
399	2239	2239
400	2244	2233
401	2249	2227
402	2254	2221
403	2259	2215
404	2266	2211
405	2272	2205
406	2276	2197
407	2281	2192
408	2286	2186
409	2291	2180
410	2297	2174
411	2302	2168
412	2306	2161
413	2311	2155
414	2316	2149
415	2322	2143
416	2327	2138
417	2332	2131
418	2338	2125
419	2343	2120
